"id","answer"
"1","4"
"2","2"
"3","3"
"4","4"
"5","3"
"6","1"
"7","2"
"8","4"
"9","2"
"10","1"
"11","4"
"12","3"
"13","4"
"14","3"
"15","1"
"16","2"
"17","1"
"18","2"
"19","3"
"20","4"
"21","1"
"22","2"
"23","3"
"24","4"
"25","1"
"26","2"
"27","3"
"28","4"
"29","1"
"30","2"
"31","3"
"32","4"
"33","1"
"34","2"
"35","3"
"36","4"
"37","1"
"38","2"
"39","3"
"40","4"
"41","1"
"42","2"
"43","3"
"44","4"
"45","1"
"46","2"
"47","3"
"48","4"
"49","1"
"50","2"
"51","3"
"52","4"
"53","1"
"54","2"
"55","3"
"56","4"
"57","1"
"58","2"
"59","3"
"60","4"
"61","1"
"62","2"
"63","3"
"64","4"
"65","1"
"66","2"
"67","4"
"68","3"
