"Buff_id","Buff_name","Buff_Descript","Buff_type","Buff_school","Buff_endtype","Buff_RemoveAftOffline","Buff_RemoveAftBattle","Buff_RemoveAftDead","Buff_KeepBody","Buff_HideEffect","Buff_Detect","Buff_starttime","Buff_acttime","Buff_nextBuff","Buff_period_type","Buff_Mod_Type_1","Buff_Mod_Type_2","Buff_Mod_Type_3","Buff_Blockcommand","Buff_BlockAction","Buff_BlockSkill","Buff_BlockItemType","Buff_ProtectPK","Buff_BlockPK","Buff_BlockChat","Buff_MoveSpeed","Buff_Value1String","Buff_Value2String","Buff_Value3String","Buff_AntiBuff","Buff_ClearBuff","Buff_IconFile","Buff_EffectFile","Buff_SparkFile","Sound File","Buff_Priority","Buff_TimeOut"
"1","受到伤害速度","受到伤害-40%速度-30%","6","1","0","1","1","0","0","0","0","0","3 | 5","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"2","受到伤害","受到伤害-25%","6","2","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"3","受到伤害","受到伤害-20%","6","3","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"4","受到伤害速度","受到伤害-15%速度+10%","6","4","0","1","1","0","0","0","0","0","3 | 5","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"5","受到伤害","受到伤害-10%","6","5","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"6","受到伤害速度","受到伤害-5%速度+10%","6","6","0","1","1","0","0","0","0","0","3 | 5","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"7","对敌受到伤害","受到伤害+10%对敌伤害+15%","6","7","0","1","1","0","0","0","0","0","5 | 8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"7","对敌受到伤害","受到伤害+10%对敌伤害+15%","6","7","0","1","1","0","0","0","0","0","5 | 8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"7","对敌受到伤害","受到伤害+10%对敌伤害+15%","6","7","0","1","1","0","0","0","0","0","5 | 8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"7","对敌受到伤害","受到伤害+10%对敌伤害+15%","6","7","0","1","1","0","0","0","0","0","5 | 8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
