"itemset_id","name","count","STR","CON","STA","AGI","SPR","ATK","DEF","HIT","EVA","POW","SPD","bat_attrib","ratio","MaxHP","MaxSP","MaxVP","skill_ids","item_ids"
"1","白·战无不胜Ⅰ","1","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","","0"
"2","玄·固若金汤Ⅰ","1","0","0","0","0","0","0","0","0","0","0","0","2","6","0","0","0","","0"
"3","麟·泰坦护体Ⅰ","1","0","0","0","0","0","0","0","0","0","0","0","3","6","0","0","0","","0"
"4","獬·仙液琼浆Ⅰ","1","0","0","0","0","0","0","0","0","0","0","0","4","6","0","0","0","","0"
"5","青·灵气逼人Ⅰ","1","0","0","0","0","0","0","0","0","0","0","0","5","6","0","0","0","","0"
"6","朱·疾风伴影Ⅰ","1","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","","0"
"7","白·战无不胜Ⅱ","1","0","0","0","0","0","0","0","0","0","0","0","1","8","0","0","0","","0"
"8","玄·固若金汤Ⅱ","1","0","0","0","0","0","0","0","0","0","0","0","2","8","0","0","0","","0"
"9","麟·泰坦护体Ⅱ","1","0","0","0","0","0","0","0","0","0","0","0","3","8","0","0","0","","0"
"10","獬·仙液琼浆Ⅱ","1","0","0","0","0","0","0","0","0","0","0","0","4","8","0","0","0","","0"
"11","青·灵气逼人Ⅱ","1","0","0","0","0","0","0","0","0","0","0","0","5","8","0","0","0","","0"
"12","朱·疾风伴影Ⅱ","1","0","0","0","0","0","0","0","0","0","0","0","6","8","0","0","0","","0"
"13","白·战无不胜Ⅲ","1","0","0","0","0","0","0","0","0","0","0","0","1","10","0","0","0","","0"
"14","玄·固若金汤Ⅲ","1","0","0","0","0","0","0","0","0","0","0","0","2","10","0","0","0","","0"
"15","麟·泰坦护体Ⅲ","1","0","0","0","0","0","0","0","0","0","0","0","3","10","0","0","0","","0"
"16","獬·仙液琼浆Ⅲ","1","0","0","0","0","0","0","0","0","0","0","0","4","10","0","0","0","","0"
"17","青·灵气逼人Ⅲ","1","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0","","0"
"18","朱·疾风伴影Ⅲ","1","0","0","0","0","0","0","0","0","0","0","0","6","10","0","0","0","","0"
"19","白·战无不胜Ⅳ","1","0","0","0","0","0","0","0","0","0","0","0","1","12","0","0","0","","0"
"20","玄·固若金汤Ⅳ","1","0","0","0","0","0","0","0","0","0","0","0","2","12","0","0","0","","0"
"21","麟·泰坦护体Ⅳ","1","0","0","0","0","0","0","0","0","0","0","0","3","12","0","0","0","","0"
"22","獬·仙液琼浆Ⅳ","1","0","0","0","0","0","0","0","0","0","0","0","4","12","0","0","0","","0"
"23","青·灵气逼人Ⅳ","1","0","0","0","0","0","0","0","0","0","0","0","5","12","0","0","0","","0"
"24","朱·疾风伴影Ⅳ","1","0","0","0","0","0","0","0","0","0","0","0","6","12","0","0","0","","0"
"25","白·战无不胜Ⅴ","1","0","0","0","0","0","0","0","0","0","0","0","1","14","0","0","0","","0"
"26","玄·固若金汤Ⅴ","1","0","0","0","0","0","0","0","0","0","0","0","2","14","0","0","0","","0"
"27","麟·泰坦护体Ⅴ","1","0","0","0","0","0","0","0","0","0","0","0","3","14","0","0","0","","0"
"28","獬·仙液琼浆Ⅴ","1","0","0","0","0","0","0","0","0","0","0","0","4","14","0","0","0","","0"
"29","青·灵气逼人Ⅴ","1","0","0","0","0","0","0","0","0","0","0","0","5","14","0","0","0","","0"
"30","朱·疾风伴影Ⅴ","1","0","0","0","0","0","0","0","0","0","0","0","6","14","0","0","0","","0"
"31","白·战无不胜Ⅵ","1","0","0","0","0","0","0","0","0","0","0","0","1","16","0","0","0","","0"
"32","玄·固若金汤Ⅵ","1","0","0","0","0","0","0","0","0","0","0","0","2","16","0","0","0","","0"
"33","麟·泰坦护体Ⅵ","1","0","0","0","0","0","0","0","0","0","0","0","3","16","0","0","0","","0"
"34","獬·仙液琼浆Ⅵ","1","0","0","0","0","0","0","0","0","0","0","0","4","16","0","0","0","","0"
"35","青·灵气逼人Ⅵ","1","0","0","0","0","0","0","0","0","0","0","0","5","16","0","0","0","","0"
"36","朱·疾风伴影Ⅵ","1","0","0","0","0","0","0","0","0","0","0","0","6","16","0","0","0","","0"
"37","白·战无不胜Ⅶ","1","0","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","","0"
"38","玄·固若金汤Ⅶ","1","0","0","0","0","0","0","0","0","0","0","0","2","18","0","0","0","","0"
"39","麟·泰坦护体Ⅶ","1","0","0","0","0","0","0","0","0","0","0","0","3","18","0","0","0","","0"
"40","獬·仙液琼浆Ⅶ","1","0","0","0","0","0","0","0","0","0","0","0","4","18","0","0","0","","0"
"41","青·灵气逼人Ⅶ","1","0","0","0","0","0","0","0","0","0","0","0","5","18","0","0","0","","0"
"42","朱·疾风伴影Ⅶ","1","0","0","0","0","0","0","0","0","0","0","0","6","18","0","0","0","","0"
"43","白·战无不胜Ⅷ","1","0","0","0","0","0","0","0","0","0","0","0","1","20","0","0","0","","0"
"44","玄·固若金汤Ⅷ","1","0","0","0","0","0","0","0","0","0","0","0","2","20","0","0","0","","0"
"45","麟·泰坦护体Ⅷ","1","0","0","0","0","0","0","0","0","0","0","0","3","20","0","0","0","","0"
"46","獬·仙液琼浆Ⅷ","1","0","0","0","0","0","0","0","0","0","0","0","4","20","0","0","0","","0"
"47","青·灵气逼人Ⅷ","1","0","0","0","0","0","0","0","0","0","0","0","5","20","0","0","0","","0"
"48","朱·疾风伴影Ⅷ","1","0","0","0","0","0","0","0","0","0","0","0","6","20","0","0","0","","0"
"101","真武风雷套装","5","35","0","35","0","0","50","38","40","0","0","0","0","0","0","0","0","","42001|42002|42003|42004|42005|42006|42007"
"102","真武磐石套装","5","0","35","35","0","0","0","38","0","0","0","0","0","0","15","8","0","","42021|42022|42023|42024|42025|42026|42027"
"103","真武万马套装","5","0","35","0","0","35","0","38","0","0","38","0","0","0","15","0","0","","42041|42042|42043|42044|42045|42046|42047"
"104","真武流水套装","5","0","0","35","35","0","0","38","0","0","0","5","0","0","15","0","0","","42061|42062|42063|42064|42065|42066|42067"
"105","真武归元套装","5","0","0","35","0","35","0","38","0","0","0","0","0","0","15","8","0","","42081|42082|42083|42084|42085|42086|42087"
"106","真武猛虎套装","5","42","0","42","0","0","60","45","48","0","0","0","3","30","0","0","0","","42101|42102|42103|42104|42105|42107|42110|42111|42112|42113|42114|42115|42116|42117|42118|42119"
"107","真武铁壁套装","5","0","42","42","0","0","0","45","0","0","0","0","3","30","18","9","0","","42121|42122|42123|42124|42126|42127|42130|42131|42132|42133|42134|42135|42136|42137|42138|42139"
"108","真武天元套装","5","0","42","0","0","42","0","45","0","0","45","0","3","30","18","0","0","","42143|42144|42145|42146|42147|42150|42151|42152|42153|42154|42155|42156|42157|42158|42159"
"109","真武流风套装","5","0","0","42","42","0","0","45","0","0","0","6","3","30","18","0","0","","42161|42162|42163|42164|42165|42166|42170|42171|42172|42173|42174|42175|42176|42177|42178|42179"
"110","真武碧水套装","5","0","0","42","0","42","0","45","0","0","0","0","3","30","18","9","0","","42181|42182|42183|42184|42185|42186|42187"
"111","真武夺命套装","5","50","0","50","0","0","70","53","56","0","0","0","0","0","0","0","0","","42201|42202|42203|42204|42205|42206|42207"
"112","真武铜墙套装","5","0","50","50","0","0","0","53","0","0","0","0","0","0","21","11","0","","42221|42222|42223|42224|42225|42226|42227"
"113","真武游龙套装","5","0","50","0","0","50","0","53","0","0","53","0","0","0","21","0","0","","42241|42242|42243|42244|42245|42246|42247"
"114","真武流云套装","5","0","0","50","50","0","0","53","0","0","0","7","0","0","21","0","0","","42261|42262|42263|42264|42265|42266|42267"
"115","真武清心套装","5","0","0","50","0","50","0","53","0","0","0","0","0","0","21","11","0","","42281|42282|42283|42284|42285|42286|42287"
"116","真武迎风套装","5","10","0","10","0","0","40","30","32","0","0","0","1","20","0","0","0","","42301|42302|42305|42306|42307|42310|42311|42312|42313|42314|42315|42316|42317|42318|42319"
"117","真武金刚套装","5","0","10","10","0","0","0","30","0","0","0","0","2","20","12","6","0","","42321|42322|42323|42324|42325|42327|42330|42331|42332|42333|42334|42335|42336|42337|42338|42339"
"118","真武天风套装","5","0","10","0","0","10","0","30","0","0","30","0","5","20","12","0","0","","42341|42342|42343|42344|42346|42347|42350|42351|42352|42353|42354|42355|42356|42357|42358|42359"
"119","真武疾电套装","5","0","0","10","10","0","0","30","0","0","0","4","6","25","12","0","0","","42361|42362|42363|42364|42365|42366|42370|42371|42372|42373|42374|42375|42376|42377|42378|42379"
"120","真武长生套装","5","0","10","10","0","0","0","30","0","0","0","0","3","30","12","6","0","","42381|42382|42383|42384|42385|42386|42387"
"121","真武冷泉套装","5","0","0","10","0","10","0","30","0","0","0","0","4","30","12","6","0","","42403|42404|42405|42406|42407|42410|42411|42412|42413|42414|42415|42416|42417|42418|42419"
"201","掷杯山庄套装","6","0","0","0","0","0","30","23","24","14","23","3","0","0","9","5","0","","44001|44002|44003|44004|44005|44006|44007|44010|44011|44012|44013|44014|44015|44016|44017|44018|44019"
