"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Outpit07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","桃花标(10级)","桃花娘子的独门暗器，外观如桃花般美丽，但却是非常可怕的暗器。","装备后增加攻击和命中等人物属性。","10","0","0","107","0","1","41000","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10041","1","10042","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","1000","0","0","0","0","0","0"
"2","工尺镖(20级)","出手后能以工尺之声奏出四面埋伏音律的第一句，以此扰人心魄。","装备后增加攻击和命中等人物属性。","20","0","0","107","0","1","41001","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10081","1","10082","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","2000","0","0","0","0","0","0"
"3","飞凤针(30级)","上官飞凤的独门暗器，针上涂有剧毒，动作越大毒性发作得越快。","装备后增加攻击和命中等人物属性。","30","0","0","107","0","1","41002","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10121","1","10122","1","10123","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","3000","0","0","0","0","0","0"
"4","断肠针(40级)","手掌般大小的银针闪着碧绿色的光，针上涂有剧毒。","装备后增加攻击和命中等人物属性。","40","0","0","107","0","1","41003","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10161","1","10162","1","10163","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","4000","0","0","0","0","0","0"
"5","冰糖银丝(50级)","天下间最好吃的暗器，中者呼吸突然停顿，直到死时嘴里还是甜的。","装备后增加攻击和命中等人物属性。","50","0","0","107","0","1","41004","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10201","1","10202","1","10203","1","10204","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000","0","0","0","0","0","0"
"6","铁蒺藜(60级)","由淬上不同剧毒的铁叶子拼成，打进人体后散裂，十三种毒见血即化。","装备后增加攻击和命中等人物属性。","60","0","0","107","0","1","41005","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10241","1","10242","1","10243","1","10244","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","6000","0","0","0","0","0","0"
"7","火树银花(70级)","采花蜂潘伶的独门暗器，发出时正如其名光华夺目，杀人于无形间。","装备后增加攻击和命中等人物属性。","70","0","0","107","0","1","41006","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10281","1","10282","1","10283","1","10284","1","10285","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","7000","0","0","0","0","0","0"
"8","暴雨梨花钉(80级)","铺天银钉从微孔中激射而出，速度之快即使武功高强之人也难以躲避。","装备后增加攻击和命中等人物属性。","80","0","0","107","0","1","41007","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10321","1","10322","1","10323","1","10324","1","10325","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","8000","0","0","0","0","0","0"
"9","要命金铃(90级)","丁灵琳的独门暗器，后发的往往先至，先发的却会突然改变方向。","装备后增加攻击和命中等人物属性。","90","0","0","107","0","1","41008","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10361","1","10362","1","10363","1","10364","1","10365","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","9000","0","0","0","0","0","0"
"10","子母寒针(100级)","子母同心，一亡具亡，中者将会在七七四十九日后毒发而死。","装备后增加攻击和命中等人物属性。","100","0","0","107","0","1","41009","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10401","1","10402","1","10403","1","10404","1","10405","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","10000","0","0","0","0","0","0"
"11","五毒如意芒(110级)","采花蜂潘伶的独门暗器，以五种奇毒炼制，毒性阴狠霸道。","装备后增加攻击和命中等人物属性。","110","0","0","107","0","1","41010","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10441","1","10442","1","10443","1","10444","1","10445","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","11000","0","0","0","0","0","0"
"12","子午催魂沙(120级)","剧毒铁砂发出时如黄砂扑面，只要接触皮肤即可钻入人体，防不胜防。","装备后增加攻击和命中等人物属性。","120","0","0","107","0","1","41011","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10481","1","10482","1","10483","1","10484","1","10485","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","12000","0","0","0","0","0","0"
"13","天女散花(130级)","蜀中唐门与江南霹雳堂合作的结晶，外观纤小妖艳，却威力无穷。","装备后增加攻击和命中等人物属性。","130","0","0","107","0","1","41012","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10521","1","10522","1","10523","1","10524","1","10525","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","13000","0","0","0","0","0","0"
"14","天地搜魂针(140级)","传说是由恶魔的眼泪所炼化，一发就是六六三十六枚，铺天盖地。","装备后增加攻击和命中等人物属性。","140","0","0","107","0","1","41013","1","2","41430","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10561","1","10562","1","10563","1","10564","1","10565","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","14000","0","0","0","0","0","0"
"15","孔雀翎(50级)","出自【天涯明月刀】，孔雀山庄的镇庄之宝，发出时有如孔雀神灵开屏一样的辉煌灿烂。","装备后增加攻击和命中等人物属性。","150","0","0","107","0","1","10204","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10230","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","15000","0","0","0","0","0","0"
"16","七星针(60级)","出自【流星蝴蝶剑】，射中人后会体内再断成七根小针，内含剧毒，纵是华佗再世也难医治。","装备后增加攻击和命中等人物属性。","150","0","0","107","0","1","10244","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10270","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","20000","0","0","0","0","0","0"
"17","七星透骨针(70级)","出自【多情环】，比普通寻常暗器的劲道更强，即使身穿护甲也会被直透入骨头之中。","装备后增加攻击和命中等人物属性。","150","0","0","107","0","1","10284","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10310","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","25000","0","0","0","0","0","0"
"18","大搜魂针(80级)","出自【九月鹰飞】，比绣花针还细的毒针，只有魔教天王才配拥有的上天入地大搜魂针。","装备后增加攻击和命中等人物属性。","150","0","0","107","0","1","10324","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10350","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","30000","0","0","0","0","0","0"
