"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Output07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","布鞋(0级男)","布缝制的鞋子，可以起到防御的作用","装备后增加防御等人物属性。","0","0","0","112","0","1","60106","1","2","20245","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10488","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","5000","0","0","0","0","0","0"
"2","牛皮靴(10级男)","牛皮缝制的靴子，速度和防御作用都比较强","装备后增加防御等人物属性。","10","0","0","112","0","1","60107","1","2","20246","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10489","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","10000","0","0","0","0","0","0"
"3","马靴(20级男)","皮制的马靴，可以起到防御的作用","装备后增加防御等人物属性。","20","0","0","112","0","1","60108","1","2","20247","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10490","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","20000","0","0","0","0","0","0"
"4","侠客履(30级男)","非常强的鞋，速度和防御作用都属上品","装备后增加防御等人物属性。","30","0","0","112","0","1","60109","1","2","20248","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10491","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","30000","0","0","0","0","0","0"
"5","神行靴(40级男)","非常轻便的靴子，可以起到防御的作用","装备后增加防御等人物属性。","40","0","0","112","0","1","60110","1","2","20249","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10492","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","40000","0","0","0","0","0","0"
"6","绿靴(50级男)","绿水晶制成的鞋子，防御作用非常的强","装备后增加防御等人物属性。","50","0","0","112","0","1","60111","1","2","20250","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10493","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","50000","0","0","0","0","0","0"
"7","追星踏月(60级男)","由于鞋上有云月图案而得名，有不错的防御力","装备后增加防御等人物属性。","60","0","0","112","0","1","60112","1","2","20251","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10494","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","60000","0","0","0","0","0","0"
"8","九州履(70级男)","天下名履，有非常不错的防御力和速度","装备后增加防御等人物属性。","70","0","0","112","0","1","60113","1","2","20252","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10495","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","70000","0","0","0","0","0","0"
"9","万里追云履(80级男)","可在任何地形疾走的神履，有不错的防御力","装备后增加防御等人物属性。","80","0","0","112","0","1","60114","1","2","20253","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10496","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","80000","0","0","0","0","0","0"
"10","踏雪无痕(90级男)","包蓄地之灵气，穿之幻影如风，踏雪无痕","装备后增加防御等人物属性。","90","0","0","112","0","1","60115","1","2","20254","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10497","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","90000","0","0","0","0","0","0"
"11","平步青云(100级男)","寻常仙界之物，穿上此靴可平步青云，借风云飞腾。","装备后增加防御等人物属性。","100","0","0","112","0","1","60116","1","2","20255","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10498","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","100000","0","0","0","0","0","0"
"12","追云逐电(110级男)","相传为雷公电母经过千万年炼化而成，穿上后可以追逐云电，日行万里。","装备后增加防御等人物属性。","110","0","0","112","0","1","60117","1","2","20256","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10499","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","110000","0","0","0","0","0","0"
"13","乾坤天罡履(120级男)","相传为太上老君所穿。乃天地之气编织而成。","装备后增加防御等人物属性。","120","0","0","112","0","1","60118","1","2","20257","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10500","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","120000","0","0","0","0","0","0"
"14","七星逐月靴(130级男)","天罡星所穿之靴。穿之及疾如风，三界之地任我遨游。","装备后增加防御等人物属性。","130","0","0","112","0","1","60119","1","2","20258","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10501","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","130000","0","0","0","0","0","0"
"15","碧霞流云履(140级男)","相传天界神匠以五彩天霞为材料，缝制而成的靴子。","装备后增加防御等人物属性。","140","0","0","112","0","1","60120","1","2","20259","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10502","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","140000","0","0","0","0","0","0"
"16","金丝逐日履(150级男)","相传神匠为纪念夸父特造此靴。穿上可追逐太阳，风云皆抛于脑后。","装备后增加防御等人物属性。","150","0","0","112","0","1","60121","1","2","20260","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10503","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","150000","0","0","0","0","0","0"
"17","方巾(0级男)","普通人常带的帽子","装备后增加防御等人物属性。","0","0","0","110","0","1","60074","1","2","20245","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10402","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","5000","0","0","0","0","0","0"
"18","布帽(10级男)","布制，普通人家使用的头冠","装备后增加防御等人物属性。","10","0","0","110","0","1","60075","1","2","20246","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10403","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","10000","0","0","0","0","0","0"
"19","面具(20级男)","用皮制的面具，可以起到防御的作用","装备后增加防御等人物属性。","20","0","0","110","0","1","60076","1","2","20247","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10404","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","20000","0","0","0","0","0","0"
"20","纶巾(30级男)","真丝织成的白色头巾，可以起到防御的作用","装备后增加防御等人物属性。","30","0","0","110","0","1","60077","1","2","20248","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10405","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","30000","0","0","0","0","0","0"
"21","缨络丝带(40级男)","红色的缨络结成的丝带，可以起到防御的作用","装备后增加防御等人物属性。","40","0","0","110","0","1","60078","1","2","20249","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10406","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","40000","0","0","0","0","0","0"
"22","羊角盔(50级男)","以羊角为装饰的盔，有非常强的防御力","装备后增加防御等人物属性。","50","0","0","110","0","1","60079","1","2","20250","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10407","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","50000","0","0","0","0","0","0"
"23","水晶帽(60级男)","水晶制成的帽子，因为坚硬，有相当强的防御","装备后增加防御等人物属性。","60","0","0","110","0","1","60080","1","2","20251","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10408","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","60000","0","0","0","0","0","0"
"24","乾坤帽(70级男)","天下名冠，暗藏乾坤玄机，有相当强的防御力","装备后增加防御等人物属性。","70","0","0","110","0","1","60081","1","2","20252","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10409","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","70000","0","0","0","0","0","0"
"25","黑魔冠(80级男)","魔王妖王常戴的冠帽，有相当强的防御力","装备后增加防御等人物属性。","80","0","0","110","0","1","60082","1","2","20253","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10410","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","80000","0","0","0","0","0","0"
"26","白玉龙冠(90级男)","高贵雅致的冠帽，镶有上等白玉精雕之飞龙图","装备后增加防御等人物属性。","90","0","0","110","0","1","60083","1","2","20254","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10411","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","90000","0","0","0","0","0","0"
"27","水晶夔帽(100级男)","其状如牛,苍色无角,一足能走,出入水即风雨,目光如日月,其声如雷,名曰夔。黄帝杀之,取皮以冒鼓,声闻五百里。”相传远古奇兽夔牛皮最终为一能工巧匠所得，辅以水晶玉石经上经千锤百炼雕琢编制而成一件冠帽。据传此帽拥有奇兽的庇佑，千年不坏。","装备后增加防御等人物属性。","100","0","0","110","0","1","60084","1","2","20255","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10412","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","100000","0","0","0","0","0","0"
"28","翡翠曜冠(110级男)","相传为三清之一灵宝天尊佩戴过的帽冠。七颗翡翠分别代表“日、月、火、水、金、木、土”环绕在玉石宝珠上。","装备后增加防御等人物属性。","110","0","0","110","0","1","60085","1","2","20256","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10413","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","110000","0","0","0","0","0","0"
