"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Output07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","腰带(0级)","一条普通的腰带，可以起到防御的作用","装备后增加气血和防御等人物属性。","0","0","0","113","0","1","60025","1","2","20245","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10466","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","1000","0","0","0","0","0","0"
"2","缎带(10级)","高级丝绸制成的腰带，能起到不错的防御作用","装备后增加气血和防御等人物属性。","10","0","0","113","0","1","60026","1","2","20246","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10467","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","1000","0","0","0","0","0","0"
"3","银腰带(20级)","银制的腰带，可以起到防御的作用","装备后增加气血和防御等人物属性。","20","0","0","113","0","1","60027","1","2","20247","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10468","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","2000","0","0","0","0","0","0"
"4","水晶腰带(30级)","佩带在腰间的水晶腰带，能起到不错的防御作用","装备后增加气血和防御等人物属性。","30","0","0","113","0","1","60028","1","2","20248","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10469","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","3000","0","0","0","0","0","0"
"5","玉树腰带(30级)","玉树之丝绦制成的腰带，能起到较强的防御作用","装备后增加气血和防御等人物属性。","30","0","0","113","0","1","60028","1","2","20248","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10470","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","3000","0","0","0","0","0","0"
"6","琥珀腰链(40级)","用琥珀制的腰链，能起到较强的防御作用","装备后增加气血和防御等人物属性。","40","0","0","113","0","1","60029","1","2","20249","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10471","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","40000","0","0","0","0","0","0"
"7","白面狼牙(40级)","白色的神镜片，可束在腰间，能起到较强的防御作用","装备后增加气血和防御等人物属性。","40","0","0","113","0","1","60029","1","2","20249","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10472","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","40000","0","0","0","0","0","0"
"8","乱牙咬(50级)","神铁制的腰箍，能起到较强的防御作用","装备后增加气血和防御等人物属性。","50","0","0","113","0","1","60030","1","2","20250","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10473","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","50000","0","0","0","0","0","0"
"9","魔童大牙(50级)","巨大的魔牙，系在腰间能起到极强的防御作用","装备后增加气血和防御等人物属性。","50","0","0","113","0","1","60030","1","2","20250","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10474","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","50000","0","0","0","0","0","0"
"10","攫魂铃(60级)","来自阴间的魔铃，佩在腰间，能起到极强的防御作用","装备后增加气血和防御等人物属性。","60","0","0","113","0","1","60031","1","2","20251","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10475","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","60000","0","0","0","0","0","0"
"11","双魂引(60级)","来自阴间的宝物，可以佩在腰间，能起到极强的防御作用","装备后增加气血和防御等人物属性。","60","0","0","113","0","1","60031","1","2","20251","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10476","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","2","0","3","60000","0","0","0","0","0","0"
