"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Output07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","水煮荷包蛋（5级）","新鲜鸡蛋为料，清爽别致，营养丰富。","功效：恢复325点生命，不能在战斗中进食。","0","366","5","2","0","1","31000","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","15","0","0","0","0","0","0"
"2","扬州炒饭（10级）","饭粒色泽金黄油亮，味道鲜美爽口。","功效：恢复350点内力，不能在战斗中进食。","0","366","10","2","0","1","31000","1","1","31010","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30010","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","19","0","0","0","0","0","0"
"3","冰糖千层糕（15级）","入口甜而不腻，味道香甜可口。","功效：恢复450点生命上限和300点生命，不能在战斗中进食。","0","366","15","2","0","1","31020","1","1","31030","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30020","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","23","0","0","0","0","0","0"
"4","蟹粉灌汤包（20级）","上等蟹粉做成的汤包，美味可口。","功效：恢复650点生命，不能在战斗中进食。","0","366","20","2","0","1","31040","1","1","31030","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30030","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","27","0","0","0","0","0","0"
"5","红烧肉（25级）","色泽光亮，味道香甜，肥而不腻，口感一流。","功效：恢复800点生命上限和500点生命，不能在战斗中进食。","0","366","25","2","0","1","31050","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30040","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","31","0","0","0","0","0","0"
"6","三鲜水饺（30级）","皮柔馅香，鲜而不腻，美味可口。","功效：恢复800点生命和450点内力，不能在战斗中进食。","0","366","30","2","0","1","31050","1","1","31060","1","1","31000","1","1","31030","1","0","0","0","0","0","0","0","0","0","0","0","0","30050","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","35","0","0","0","0","0","0"
"7","菠萝鸡丁（35级）","青黄相间，口感香滑，咸甜适中。","功效：恢复750点内力，不能在战斗中进食。","0","366","35","2","0","1","31070","1","1","31080","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30060","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","39","0","0","0","0","0","0"
"8","咕噜肉（40级）","酸甜兼备，香气四溢，味道极佳。","功效：恢复1500点生命，不能在战斗中进食。","0","366","40","2","0","1","31050","3","1","31070","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30070","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","43","0","0","0","0","0","0"
"9","荔枝虾球（45级）","荔枝清爽甘甜之中又夹杂了虾的鲜香，口感极佳。","功效：恢复1250点生命上限和800点生命,不能在战斗中进食。","0","366","45","2","0","1","31090","1","1","31140","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30080","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","47","0","0","0","0","0","0"
"10","罗汉上素（50级）","色泽缤纷、雅致，味道清淡香郁，营养十分丰富。","功效：恢复同伴100点健康，有一定几率使同伴中毒而导致速度资质降低，不能在战斗中进食，仅限于同伴使用。","0","366","50","2","0","1","31100","1","1","31110","1","1","31120","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30090","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","51","0","0","0","0","0","0"
