"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Output07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","米酒（10级）","又称甜酒、甜曲酒和沸汁酒，有悠久的饮用历史。","功效：饮用后增加酒量经验1，增加酒意10，喝酒冷却时间2分钟。不能在战斗中饮用。","0","367","10","6","0","1","34301","1","1","34302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","13","0","0","0","0","0","0"
"2","烧刀子（13级）","口感醇厚地道，甘冽纯正，劲道实足。","功效：饮用后增加酒量经验2，增加酒意20，喝酒冷却时间3分钟。不能在战斗中饮用。","0","367","13","6","0","1","34301","1","1","34302","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34010","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","17","0","0","0","0","0","0"
"3","加饭酒（16级）","酒色混黄，口感清淡，却后劲十足。","饮用后增加酒意10。只能在战斗中饮用。","0","367","16","6","0","1","34301","1","1","34303","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34020","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","21","0","0","0","0","0","0"
"4","清酒（19级）","清香怡人，入口绵滑，芳香爽口。","饮用后增加酒意20，较大几率出现眩晕状态。只能在战斗中饮用。","0","367","19","6","0","1","34301","1","1","34304","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34030","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","25","0","0","0","0","0","0"
"5","甜酒（22级）","用上等糯米蒸熟后再加酒药子酿成，用泉水冰冻后更甜美清凉。","功效：饮用后增加酒量经验5，增加酒意0.5×品质，喝酒冷却时间5分钟。不能在战斗中饮用。","0","367","22","6","1","1","34301","1","1","34305","1","1","34306","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34040","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","29","0","0","0","0","0","0"
"6","糯米酒（25级）","酒色红褐，清亮透明，醇甜爽口。","饮用后增加酒意0.5×品质，较大几率出现醉酒状态或眩晕状态，较小几率出现醉拳状态。只能在战斗中饮用。","0","367","25","6","1","1","34301","2","1","34302","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34050","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","33","0","0","0","0","0","0"
"7","百花酒（28级）","以百花、清泉精心酿制而成，饮之回味无穷。","功效：饮用后增加酒量经验10，增加酒意0.6×品质，喝酒冷却时间8分钟。不能在战斗中饮用。","0","367","28","6","1","1","34301","2","1","34302","1","1","34307","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34060","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","37","0","0","0","0","0","0"
"8","古龙醇（31级）","相传是古龙先生采用秘方酿制而成的酒，酒味醇香馥郁，劲道十足，武林豪杰对此酒更是杯不离手。","饮用后增加酒意0.6×品质，较大几率出现醉酒状态，一定几率出现眩晕状态，较小几率出现醉拳状态。只能在战斗中饮用。","0","367","31","6","1","1","34301","2","1","34304","1","1","34308","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34070","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","41","0","0","0","0","0","0"
"9","梦幻酿（34级）","一种极其神秘的酒，没有人知道其酿制的材料。人饮用之后，会进入一种如梦如幻的情景，顿时变得身轻力大。","功效：饮用后增加酒量经验20，增加酒意0.7×品质，喝酒冷却时间13分钟。不能在战斗中饮用。","0","367","34","6","1","1","34301","2","1","34306","1","1","34309","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34080","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","45","0","0","0","0","0","0"
"10","高粱大曲（37级）","醇香典雅、甘润挺爽。","饮用后增加酒意0.7×品质，较大几率出现醉酒状态，一定几率出现眩晕状态和中毒，较小几率出现醉拳状态。只能在战斗中饮用。","0","367","37","6","1","1","34301","2","1","34309","1","1","34308","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34090","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","0","1","49","0","0","0","0","0","0"
