"MapID","X","Y"
"2","6","89"
"2","8","85"
"2","7","77"
"2","8","64"
"2","9","40"
"2","7","32"
"2","6","19"
"2","10","14"
"2","17","19"
"2","25","16"
"2","21","33"
"2","14","65"
"2","19","67"
"2","16","85"
"2","10","101"
"2","5","120"
"2","8","134"
"2","6","151"
"2","13","144"
"2","12","159"
"2","4","170"
"2","6","191"
"2","9","193"
"2","4","207"
"2","8","211"
"2","7","227"
"2","12","227"
"2","15","215"
"2","19","200"
"2","24","195"
"2","28","195"
"2","34","194"
"2","38","192"
"2","41","190"
"2","42","178"
"2","44","166"
"2","49","163"
"2","51","155"
"2","38","209"
"2","41","219"
"2","35","231"
"2","30","238"
"2","25","253"
"2","23","270"
"2","18","266"
"2","12","257"
"2","8","263"
"2","6","278"
"2","15","285"
"2","31","279"
"2","33","269"
"2","36","279"
"2","38","270"
"2","44","269"
"2","43","253"
"2","50","261"
"2","51","240"
"2","48","224"
"2","56","222"
"2","57","244"
"2","63","236"
"2","59","220"
"2","63","207"
"2","60","193"
"2","59","178"
"2","61","162"
"2","65","159"
"2","68","230"
"2","69","246"
"2","59","273"
"2","31","168"
"2","27","156"
"2","22","149"
"2","23","135"
"2","29","140"
"2","32","129"
"2","34","115"
"2","35","101"
"2","40","112"
"2","42","96"
"2","37","94"
"2","34","83"
"2","36","74"
"2","38","64"
"2","42","76"
"2","47","89"
"2","48","73"
"2","45","54"
"2","48","40"
"2","54","54"
"2","54","41"
"2","54","27"
"2","59","27"
"2","63","24"
"2","66","21"
"2","62","39"
"2","63","54"
"2","65","55"
"2","68","42"
"2","70","31"
"2","71","70"
"2","63","74"
"2","57","81"
"2","61","87"
"2","66","95"
"2","59","103"
"2","56","101"
"2","56","92"
"2","64","108"
"2","60","120"
"2","55","126"
"2","51","124"
"2","49","121"
"2","48","135"
"2","53","135"
"2","54","122"
"1","128","46"
"1","132","74"
"1","132","60"
"1","139","56"
"1","146","69"
"1","153","84"
"1","162","88"
"1","170","102"
"1","175","118"
"1","146","100"
"1","137","105"
"1","129","130"
"1","120","145"
"1","110","161"
"1","118","183"
"1","130","214"
"1","127","241"
"1","141","245"
"1","148","223"
"1","152","248"
"1","159","247"
"1","167","256"
"1","174","261"
"1","170","280"
"1","160","302"
"1","151","326"
"1","142","334"
"1","135","354"
"1","123","345"
"1","120","327"
"1","114","317"
"1","107","301"
"1","101","290"
"1","124","280"
"1","93","306"
"1","83","331"
"1","77","326"
"1","69","309"
"1","59","302"
"1","51","289"
"1","41","284"
"1","30","311"
"1","18","266"
"1","13","243"
"1","7","231"
"1","20","185"
"1","21","151"
"1","15","138"
"1","9","146"
"1","34","152"
"1","35","126"
"1","40","100"
"1","37","84"
"1","27","57"
"1","24","34"
"1","14","40"
"1","17","58"
"1","54","104"
"1","60","91"
"1","67","75"
"1","76","58"
"1","66","42"
"1","55","24"
"1","92","50"
"1","95","73"
"1","105","78"
"1","114","93"
"1","118","73"
"1","134","84"
"1","140","77"
