"MapID","X","Y"
"500","100","70"
"500","22","52"
"500","30","30"
"500","29","54"
"500","41","45"
"500","17","90"
"500","38","96"
"500","50","84"
"500","55","73"
"500","58","47"
"500","69","82"
"500","86","59"
"500","110","62"
"500","87","123"
"500","83","154"
"500","72","149"
"500","73","201"
"500","88","190"
"500","103","166"
"500","112","142"
"500","105","140"
"500","115","165"
"500","108","178"
"500","98","177"
"500","99","205"
"500","96","224"
"500","83","239"
"500","61","216"
"500","66","264"
"500","78","273"
"500","71","334"
"500","54","296"
"500","42","325"
"500","48","343"
"500","25","301"
"500","17","324"
"500","7","284"
"500","3","244"
"500","36","250"
"500","38","210"
"500","22","220"
"500","14","235"
"500","21","261"
"500","12","188"
"500","19","161"
"500","17","126"
"500","23","109"
"500","30","120"
"500","37","119"
