"item_id","item_type","name","eqType","color","rare","root_id","description","functionDes","g_price","m_price","memberUse","script","script_battle","item_unique","item_TimeLimit","item_TimeLimitType","item_GenerateLimit","item_GenerateLimit_Time","item_GenerateLimit_Count","reqSexClass1","reqSexClass2","reqFaction","reqLv","consume","questItem","soulBound","dumpable","sellable","droppable","repair","godWeapon","steal","Identify","Identify2","strLv","eqQuality","eqQuality2","ATK_Base","HIT_Base","DEF_Base","HP_Base","SPD_Base","EVA_Base","SP_Base","POW_Base","ATK_Qual","HIT_Qual","DEF_Qual","HP_Qual","SPD_Qual","EVA_Qual","SP_Qual","POW_Qual","ATK_Strth","HIT_Strth","DEF_Strth","HP_Strth","SPD_Strth","EVA_Strth","SP_Strth","POW_Strth","useCount","overlap","usePlace","form","targetType","target","use_baseElement","coolType","coolTime","periodType","period","nTarget","restoreType","restore_HP","restore_mHP","restore_SP","restore_mSP","restore_VP","restore_DP","restore_WC","restore_favor","bagSlot","eq_baseElement","eq_maxEnduring","eq_maxUpgrade","eq_minGem","eq_maxGem","STA_d","STA_u","SPR_d","SPR_u","STR_d","STR_u","CON_d","CON_u","AGI_d","AGI_u","ATK_d","ATK_u","DEF_d","DEF_u","HIT_d","HIT_u","EVA_d","EVA_u","PWD_d","PWD_u","SPD_d","SPD_u","maxHP_d","maxHP_u","maxSP_d","maxSP_u","maxVP_d","maxVP_u","wind_d","wind_u","windopp_d","windopp_u","windign_d","windign_u","winddeb_d","winddeb_u","dust_d","dust_u","dustopp_d","dustopp_u","dustign_d","dustign_u","dustdeb_d","dustdeb_u","water_d","water_u","wateropp_d","wateropp_u","waterign_d","waterign_u","waterdeb_d","waterdeb_u","fire_d","fire_u","fireopp_d","fireopp_u","fireign_d","fireign_u","firedeb_d","firedeb_u","iconLight","weaponLight","icon1","icon2","icon3","item_AtkEffect","item_HurtEffect","item_SparkEffect","item_AtkSound","item_HurtSound","item_SparkSound","eq_Outlook1","eqo1_atk1_sound","eqo1_atk2_sound","eq_Outlook2","eqo2_atk1_sound","eqo2_atk2_sound","eq_Color","eq_colorPalette1","eq_colorPalette2","eq_colorPalette3","eq_colorPalette4","eq_colorPalette5","skill_id","probability","item_Donate","itemset_id","add_friendly"
"10000","4","四叶花","0","3","3","10000","具有药性的中草药，长着四片叶子的药草，可补充少量气血。","【功效】恢复气血40点","100","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-SIYEHUA.ent","Item-SIYEHUA-s.ent","Item-SIYEHUA-t.ent","0","JXTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10001","4","麝香","0","3","3","10001","仙山灵麝的麝香，是名贵的中药材，可以补充些许法力。","【功效】恢复魔法100点","2500","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-YP-SX.ent","Item-YP-SX-s.ent","Item-YP-SX-t.ent","0","JLTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10002","4","山药","0","3","3","10002","直立草本，羽状复叶，花白色、黄色、蓝色或紫色，浆果紫色，常见药草，可补充少量气血，对疗伤有一定效果。","【功效】恢复气血40点，治疗10点的伤势","180","0","1","item10002.lua","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-YP-SY.ent","Item-YP-SY-s.ent","Item-YP-SY-t.ent","0","JSTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10003","4","丁香水","0","3","3","10003","从仙岛上的丁香花中精心提炼而成，可以补充些许法力。","【功效】恢复魔法75点","1500","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-DXS.ent","Item-DXS-s.ent","Item-DXS-t.ent","0","JLTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10004","4","血色茶花","0","3","3","10004","出自南方的野生茶花，可以补充些许气血。","【功效】恢复气血150点","1500","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-XSCH.ent","Item-XSCH-s.ent","Item-XSCH-t.ent","0","JXTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10005","4","金疮药","0","3","3","10005","用云南白药制成的疗伤药，可以止血、消毒，是常见的药品，具有补充气血的作用。","【功效】恢复气血400点","5000","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-JCY.ent","Item-JCY-s.ent","Item-JCY-t.ent","0","JXTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10006","4","紫丹罗","0","3","3","10006","产自东胜神洲的药草，紫色的叶子上散发出淡淡的清香，可以补充少量法力。","【功效】恢复魔法20点","80","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-ZIDANLUO.ent","Item-ZIDANLUO-s.ent","Item-ZIDANLUO-t.ent","0","JLTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10007","4","熊胆","0","3","3","10007","千年熊罴的胆，是十分难得可遇不可求的宝物，可以补充大量气血。","【功效】恢复气血200点","2500","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-EJYP-XD.ent","Item-EJYP-XD-s.ent","Item-EJYP-XD-t.ent","0","JXTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10008","4","佛光舍利子","0","3","3","10008","佛的舍利子具有补充气血、疗伤和起死回生的功效。","【功效】复活、恢复气血=品质*3，临时气血上限变为品质*7+100","20000","0","1","item10008.lua","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","5","13","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-FGSLZ.ent","Item-FGSLZ-s.ent","Item-FGSLZ-t.ent","0","JXTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
"10009","4","草果","0","3","3","10009","“香草高士意，兰花隐者心。”散发淡淡香气的药草，具有一定的疗伤作用。","【功效】治疗10点的伤势","100","0","1","","","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","2","4","0","0","0","0","0","0","1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Item-YP-CG.ent","Item-YP-CG-s.ent","Item-YP-CG-t.ent","0","JSTX.ent","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","",""
