"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Output07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","黄铜令(60级)白·Ⅰ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","60","0","0","210","0","1","60324","1","2","80208","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80659","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","60000","0","0","0","0","0","0"
"2","黄铜令(60级)玄·Ⅰ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","60","0","0","210","0","1","60325","1","2","80208","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80660","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","60000","0","0","0","0","0","0"
"3","黄铜令(60级)麟·Ⅰ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","60","0","0","210","0","1","60326","1","2","80208","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80661","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","60000","0","0","0","0","0","0"
"4","黄铜令(60级)獬·Ⅰ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","60","0","0","210","0","1","60327","1","2","80208","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80662","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","60000","0","0","0","0","0","0"
"5","黄铜令(60级)青·Ⅰ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","60","0","0","210","0","1","60328","1","2","80208","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80663","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","60000","0","0","0","0","0","0"
"6","黄铜令(60级)朱·Ⅰ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","60","0","0","210","0","1","60329","1","2","80208","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80664","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","60000","0","0","0","0","0","0"
"7","免死符(80级)白·Ⅱ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","80","0","0","211","0","1","60330","1","2","80210","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80665","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","80000","0","0","0","0","0","0"
"8","免死符(80级)玄·Ⅱ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","80","0","0","211","0","1","60331","1","2","80210","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80666","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","80000","0","0","0","0","0","0"
"9","免死符(80级)麟·Ⅱ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","80","0","0","211","0","1","60332","1","2","80210","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80667","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","80000","0","0","0","0","0","0"
"10","免死符(80级)獬·Ⅱ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","80","0","0","211","0","1","60333","1","2","80210","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80668","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","80000","0","0","0","0","0","0"
"11","免死符(80级)青·Ⅱ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","80","0","0","211","0","1","60334","1","2","80210","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80669","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","80000","0","0","0","0","0","0"
"12","免死符(80级)朱·Ⅱ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","80","0","0","211","0","1","60335","1","2","80210","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80670","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","80000","0","0","0","0","0","0"
"13","玉蝶翩(100级)白·Ⅲ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","100","0","0","212","0","1","60336","1","2","80212","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80671","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","100000","0","0","0","0","0","0"
"14","玉蝶翩(100级)玄·Ⅲ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","100","0","0","212","0","1","60337","1","2","80212","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80672","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","100000","0","0","0","0","0","0"
"15","玉蝶翩(100级)麟·Ⅲ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","100","0","0","212","0","1","60338","1","2","80212","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80673","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","100000","0","0","0","0","0","0"
"16","玉蝶翩(100级)獬·Ⅲ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","100","0","0","212","0","1","60339","1","2","80212","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80674","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","100000","0","0","0","0","0","0"
"17","玉蝶翩(100级)青·Ⅲ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","100","0","0","212","0","1","60340","1","2","80212","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80675","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","100000","0","0","0","0","0","0"
"18","玉蝶翩(100级)朱·Ⅲ","一块精致的护符，据说可以庇佑天下万千事物，且会给佩带者带来特别的力量。","装备后增加一定比例的人物属性。","100","0","0","212","0","1","60341","1","2","80212","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80676","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","100000","0","0","0","0","0","0"
