"skill_id","skill_type","skill_name","skill_faction","skill_class","skill_reqBaseSkill","skill_reqBaseSkillRank","skill_reqLv","skill_maxRank","skill_active","skill_battleorField","skill_form","skill_targetType","skill_UseElement","skill_Script_Type","skill_UseTime","skill_cooldownType","Skill_PreBuff","Skill_AutoAddBuff","Skill_Animation_Motion","Skill_Animation_Type","Skill_ThrowItemType","Skill_ThrowItemId","Skill_Hide","Skill_AutoSwitch","skill_icon","skill_Effect_Atk","skill_Effect_Hurt","skill_Effect_Spark","skill_Sound_Atk","skill_Sound_Hurt","skill_Sound_Spark","Skill_description","Skill_functionDes"
"13","2","普通阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"1","2","七星阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"2","2","虎翼阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"3","2","鸟翔阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"4","2","银雨阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"5","2","蛇蟠阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"6","2","虚影阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"7","2","天履阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"8","2","地截阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"9","2","龙飞阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"10","2","幻剑阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"11","2","风扬阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
"12","2","云垂阵","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","0","0","0","0","0","0","0","0","0"
