State,Rotation,Step,Delay,
1,0,1,110,
1,0,2,330,
1,0,3,220,
1,1,1,110,
1,1,2,330,
1,1,3,220,
1,2,1,110,
1,2,2,330,
1,2,3,220,
1,3,1,110,
1,3,2,330,
1,3,3,220,
1,4,1,110,
1,4,2,330,
1,4,3,220,
3,1,1,800,
3,5,1,800,
4,1,1,540,
4,1,2,180,
4,5,1,540,
4,5,2,180,
5,1,1,540,
5,1,2,540,
5,5,1,540,
5,5,2,540,
9,1,1,800,
9,5,1,800,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,150,
12,5,1,150,
13,1,1,390,
13,1,2,390,
13,5,1,390,
13,5,2,390,
14,1,1,200,
14,5,1,200,
15,1,1,100,
15,5,1,100,
16,1,1,320,
16,5,1,320,
