State,Rotation,Step,Delay,
0,0,1,1560,
0,1,1,1560,
0,2,1,1560,
0,3,1,1560,
0,4,1,1560,
0,5,1,1560,
0,6,1,1560,
0,7,1,1560,
1,0,1,90,
1,0,2,270,
1,0,3,270,
1,0,4,270,
1,0,5,180,
1,1,1,90,
1,1,2,270,
1,1,3,270,
1,1,4,270,
1,1,5,180,
1,2,1,90,
1,2,2,270,
1,2,3,270,
1,2,4,270,
1,2,5,180,
1,3,1,90,
1,3,2,270,
1,3,3,270,
1,3,4,270,
1,3,5,180,
1,4,1,90,
1,4,2,270,
1,4,3,270,
1,4,4,270,
1,4,5,180,
1,5,1,90,
1,5,2,270,
1,5,3,270,
1,5,4,270,
1,5,5,180,
1,6,1,90,
1,6,2,270,
1,6,3,270,
1,6,4,270,
1,6,5,180,
1,7,1,90,
1,7,2,270,
1,7,3,270,
1,7,4,270,
1,7,5,180,
17,0,1,90,
17,0,2,270,
17,0,3,270,
17,0,4,270,
17,0,5,270,
17,0,6,270,
17,0,7,270,
17,0,8,270,
17,0,9,180,
17,1,1,90,
17,1,2,270,
17,1,3,270,
17,1,4,270,
17,1,5,270,
17,1,6,270,
17,1,7,270,
17,1,8,270,
17,1,9,180,
17,2,1,90,
17,2,2,270,
17,2,3,270,
17,2,4,270,
17,2,5,270,
17,2,6,270,
17,2,7,270,
17,2,8,270,
17,2,9,180,
17,3,1,90,
17,3,2,270,
17,3,3,270,
17,3,4,270,
17,3,5,270,
17,3,6,270,
17,3,7,270,
17,3,8,270,
17,3,9,180,
17,4,1,90,
17,4,2,270,
17,4,3,270,
17,4,4,270,
17,4,5,270,
17,4,6,270,
17,4,7,270,
17,4,8,270,
17,4,9,180,
17,5,1,90,
17,5,2,270,
17,5,3,270,
17,5,4,270,
17,5,5,270,
17,5,6,270,
17,5,7,270,
17,5,8,270,
17,5,9,180,
17,6,1,90,
17,6,2,270,
17,6,3,270,
17,6,4,270,
17,6,5,270,
17,6,6,270,
17,6,7,270,
17,6,8,270,
17,6,9,180,
17,7,1,90,
17,7,2,270,
17,7,3,270,
17,7,4,270,
17,7,5,270,
17,7,6,270,
17,7,7,270,
17,7,8,270,
17,7,9,180,
