State,Rotation,Step,Delay,
0,0,1,900,
0,1,1,900,
0,2,1,900,
0,3,1,900,
0,4,1,900,
1,0,1,660,
1,1,1,660,
1,2,1,660,
1,3,1,660,
1,4,1,660,
2,0,1,720,
2,1,1,720,
2,2,1,720,
2,3,1,720,
2,4,1,720,
3,1,1,800,
3,5,1,800,
4,1,1,1140,
4,5,1,1140,
5,1,1,1430,
5,5,1,1480,
6,1,1,800,
6,5,1,800,
7,1,1,1170,
7,5,1,1170,
8,1,1,1260,
8,5,1,1260,
9,1,1,800,
9,5,1,800,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,100,
12,5,1,100,
13,1,1,600,
13,5,1,600,
14,0,1,200,
14,1,1,200,
14,2,1,200,
14,3,1,200,
14,4,1,200,
14,5,1,200,
15,0,1,100,
15,1,1,100,
15,2,1,100,
15,3,1,100,
15,4,1,100,
15,5,1,100,
16,0,1,480,
16,1,1,480,
16,2,1,480,
16,3,1,480,
16,4,1,480,
16,5,1,480,
17,0,1,900,
17,1,1,900,
17,2,1,900,
17,3,1,900,
17,4,1,900,
