State,Rotation,Step,Delay,
0,0,1,1020,
0,1,1,1020,
0,2,1,1020,
0,3,1,1020,
0,4,1,1020,
0,5,1,1020,
0,6,1,1020,
0,7,1,1020,
1,0,1,540,
1,1,1,540,
1,2,1,540,
1,3,1,540,
1,4,1,540,
1,5,1,540,
1,6,1,540,
1,7,1,540,
2,0,1,720,
2,1,1,720,
2,2,1,720,
2,3,1,720,
2,4,1,720,
2,5,1,720,
2,6,1,720,
2,7,1,720,
3,1,1,960,
3,5,1,960,
4,1,1,400,
4,1,2,500,
4,1,3,300,
4,5,1,400,
4,5,2,500,
4,5,3,300,
5,1,1,1500,
5,5,1,1500,
6,1,1,960,
6,5,1,960,
7,1,1,1200,
7,5,1,1200,
8,1,1,1500,
8,5,1,1500,
9,1,1,960,
9,5,1,960,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,150,
12,5,1,150,
13,1,1,780,
13,5,1,780,
14,1,1,200,
14,5,1,200,
15,1,1,100,
15,5,1,100,
16,1,1,480,
16,5,1,480,
17,0,1,900,
17,1,1,900,
17,2,1,900,
17,3,1,900,
17,4,1,900,
17,5,1,900,
17,6,1,900,
17,7,1,900,
19,0,1,1020,
19,1,1,1020,
19,2,1,1020,
19,3,1,1020,
19,4,1,1020,
19,5,1,1020,
19,6,1,1020,
19,7,1,1020,
20,0,1,660,
20,1,1,660,
20,2,1,660,
20,3,1,660,
20,4,1,660,
20,5,1,660,
20,6,1,660,
20,7,1,660,
21,0,1,900,
21,1,1,900,
21,2,1,900,
21,3,1,900,
21,4,1,900,
21,5,1,900,
21,6,1,900,
21,7,1,900,
