State,Rotation,Step,Delay,
0,0,1,920,
0,1,1,1200,
0,2,1,1200,
0,3,1,1200,
0,4,1,1200,
0,5,1,1200,
0,6,1,1200,
0,7,1,1200,
1,0,1,660,
1,1,1,110,
1,1,2,330,
1,1,3,220,
1,2,1,110,
1,2,2,330,
1,2,3,220,
1,3,1,110,
1,3,2,330,
1,3,3,220,
1,4,1,110,
1,4,2,330,
1,4,3,220,
1,5,1,110,
1,5,2,330,
1,5,3,220,
1,6,1,110,
1,6,2,330,
1,6,3,220,
1,7,1,110,
1,7,2,330,
1,7,3,220,
3,1,1,960,
3,5,1,960,
4,1,1,600,
4,1,2,200,
4,5,1,600,
4,5,2,200,
5,1,1,600,
5,1,2,600,
5,5,1,600,
5,5,2,600,
9,1,1,960,
9,5,1,960,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,450,
12,5,1,450,
13,1,1,420,
13,1,2,420,
13,5,1,420,
13,5,2,420,
17,0,1,900,
17,1,1,1080,
17,2,1,1080,
17,3,1,1080,
17,4,1,1080,
17,5,1,1080,
17,6,1,1080,
17,7,1,1080,
