State,Rotation,Step,Delay,
0,0,1,1020,
0,1,1,1020,
0,2,1,1020,
0,3,1,1020,
0,4,1,1020,
0,5,1,1020,
0,6,1,1020,
0,7,1,1020,
1,0,1,660,
1,1,1,660,
1,2,1,660,
1,3,1,660,
1,4,1,660,
1,5,1,660,
1,6,1,660,
1,7,1,660,
3,1,1,960,
3,5,1,960,
4,1,1,300,
4,1,2,400,
4,1,3,500,
4,5,1,300,
4,5,2,400,
4,5,3,500,
5,1,1,100,
5,1,2,800,
5,1,3,600,
5,5,1,100,
5,5,2,800,
5,5,3,600,
9,1,1,600,
9,1,2,360,
9,5,1,600,
9,5,2,360,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,150,
12,5,1,150,
13,1,1,780,
13,5,1,780,
14,1,1,200,
14,5,1,200,
15,1,1,100,
15,5,1,100,
16,1,1,480,
16,5,1,480,
17,0,1,900,
17,1,1,900,
17,2,1,900,
17,3,1,900,
17,4,1,900,
17,5,1,900,
17,6,1,900,
17,7,1,900,
