[2017-09-16 23.57.06] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.06.16] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.09.24] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.10.03] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.11.08] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.12.11] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.12.51] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.17.56] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.21.09] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.23.11] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.26.05] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-17 00.52.57] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-26 20.30.01] MemoryManager::Deallocate Error : CheckMemory Failed, Error Code E0020003, SourceLine f:\projects\qgl_source_test\src\main_version_11_01_24\library\reuben\include\reuben\system\ManagedAllocator.h (61) : 
[2017-09-28 12.45.10] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.45.11] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.45.51] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 12.49.43] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.50.10] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 12.56.04] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.56.28] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 13.05.27] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.05.28] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.05.58] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 13.18.19] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.18.39] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 13.23.11] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.23.35] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 13.29.58] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.31.14] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.31.15] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.31.53] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 13.45.51] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.46.23] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-28 13.49.27] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.49.54] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (150) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
[2017-09-30 03.26.34] MemoryManager::Deallocate Error : flags not match, SourceLine D:\Projects\reuben\Src\Main\Reuben\Simulation\ObjectManager.cpp (63) : 
