[2017-09-28 12.45.04] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.48.18] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.49.37] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.50.31] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.54.12] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.55.58] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 12.58.28] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.04.31] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.05.21] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.17.23] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.18.13] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.19.01] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.23.09] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.31.08] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.40.54] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.45.45] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.49.20] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
[2017-09-28 13.50.17] MemoryManager::Deallocate Error : flags not match, SourceLine F:\Projects\qgl_source_test\Src\Main_Version_11_01_24\Resource\QGLCSVTReader.cpp (17) : 
